sma_fast,sma_slow,rsi_period,rsi_lower,rsi_upper,macro_gate,total_return,sharpe,max_dd,win_rate,profit_factor,expectancy,total_trades,passes_filters
100,200,21,30,70,neither,-32.60368681002309,-0.5769105713424214,35.419021627231494,33.0188679245283,0.5579492791825366,-30.37786742520531,107,False
100,150,21,30,70,both,-30.80036536463841,-0.5771661852417052,32.823044287750335,34.375,0.5397134791938968,-32.08371392149833,96,False
100,150,21,30,70,neither,-33.388752428203425,-0.5778121340573972,34.64669516481472,33.33333333333333,0.5421838834199568,-31.798811836384296,105,False
50,250,21,35,65,unrate_only,-22.40467104652399,-0.5786578817236284,26.558858255373174,36.84210526315789,0.4939073841004095,-29.479830324373623,76,False
100,150,21,30,70,payems_only,-30.47432320946643,-0.5797690539466974,32.4410054618129,34.04255319148936,0.531321148575011,-32.41949277602815,94,False
100,250,21,30,70,both,-29.23715358812931,-0.5805839197397972,31.30552459515709,32.967032967032964,0.5135510228276271,-32.128740206735586,91,False
100,150,21,45,55,unrate_only,-13.587449886069134,-0.5914412560873847,16.004407737828338,40.98360655737705,0.4458412788206414,-22.27450800994928,61,False
100,200,21,35,65,neither,-31.901400190900798,-0.6136745373566205,34.65613119223575,36.206896551724135,0.5811841838877663,-27.15004478829033,117,False
100,250,21,35,65,neither,-31.259398554636547,-0.6241955914968172,31.259398554636547,37.83783783783784,0.5287211921976672,-28.161620319492457,111,False
50,150,21,35,65,unrate_only,-24.969056469501847,-0.6260953370036042,27.15339345023098,37.17948717948718,0.4717419603406231,-32.011610858335686,78,False
100,250,21,30,70,neither,-33.12917661474002,-0.6302582862704683,33.12917661474002,32.6530612244898,0.4788197906159857,-33.805282259938636,98,False
50,250,14,35,65,unrate_only,-22.186259146902575,-0.6423086325257461,27.25826112545485,36.84210526315789,0.46764185783934215,-29.19244624592438,76,False
100,150,21,35,65,both,-32.31730120950615,-0.6629592980006322,34.287712548709585,36.19047619047619,0.5321161463387282,-30.778382104291545,105,False
50,250,14,40,60,unrate_only,-18.467032499168862,-0.6656880849883423,22.33471388362527,36.58536585365854,0.4611317922352125,-22.520771340449738,82,False
